Criterion ID,Category
"13500,""/Arts & Entertainment/Events, Shows & Cultural Attractions/Food & Beverage Events"""
"13852,""/Arts & Entertainment/Events, Shows & Cultural Attractions/Live Comedy"""
"11885,""/Arts & Entertainment/Events, Shows & Cultural Attractions/Special Exhibits"""
"11886,""/Arts & Entertainment/Events, Shows & Cultural Attractions/Theater & Theater Tickets"""
"10603,""/Arts & Entertainment/Events, Shows & Cultural Attractions/Ticket Sales & Exchanges"""
"13425,""/Arts & Entertainment/Fun & Trivia"""
"13489,""/Arts & Entertainment/Fun & Trivia/Fun Tests & Silly Surveys"""
"10106,""/Arts & Entertainment/Humor & Jokes"""
"13417,""/Arts & Entertainment/Movies & Films"""
"13515,""/Arts & Entertainment/Movies & Films/Action & Adventure Films"""
"13516,""/Arts & Entertainment/Movies & Films/Action & Adventure Films/Martial Arts Films"""
"13517,""/Arts & Entertainment/Movies & Films/Action & Adventure Films/Superhero Films"""
"13853,""/Arts & Entertainment/Movies & Films/Action & Adventure Films/Western Films"""
"13518,""/Arts & Entertainment/Movies & Films/Animated Films"""
"13663,""/Arts & Entertainment/Movies & Films/Animated Films/Anime"""
"13519,""/Arts & Entertainment/Movies & Films/Bollywood & South Asian Film"""
"13520,""/Arts & Entertainment/Movies & Films/Classic Films"""
"13523,""/Arts & Entertainment/Movies & Films/Comedy Films"""
"13521,""/Arts & Entertainment/Movies & Films/Cult & Indie Films"""
"13522,""/Arts & Entertainment/Movies & Films/Documentary Films"""
"13524,""/Arts & Entertainment/Movies & Films/Drama Films"""
"13532,""/Arts & Entertainment/Movies & Films/Family & Children's Films"""
"13531,""/Arts & Entertainment/Movies & Films/Film Noir"""
"13729,""/Arts & Entertainment/Movies & Films/Filmmaking"""
"13525,""/Arts & Entertainment/Movies & Films/Horror Films"""
"13528,""/Arts & Entertainment/Movies & Films/Movie Theaters"""
"10554,""/Arts & Entertainment/Movies & Films/Movie Tickets"""
"13527,""/Arts & Entertainment/Movies & Films/Musical Films"""
"13534,""/Arts & Entertainment/Movies & Films/Romance Films"""
"13526,""/Arts & Entertainment/Movies & Films/Science Fiction & Fantasy Films"""
"13535,""/Arts & Entertainment/Movies & Films/Sports Films"""
"13533,""/Arts & Entertainment/Movies & Films/Thriller, Crime & Mystery Films"""
"13529,""/Arts & Entertainment/Movies & Films/War Films"""
"10109,""/Arts & Entertainment/Music & Audio"""
"13799,""/Arts & Entertainment/Music & Audio/Children's Music"""
"13538,""/Arts & Entertainment/Music & Audio/Classical Music"""
"10593,""/Arts & Entertainment/Music & Audio/Concerts & Music Festivals"""
"13539,""/Arts & Entertainment/Music & Audio/Country Music"""
"13540,""/Arts & Entertainment/Music & Audio/Dance & Electronic Music"""
"13541,""/Arts & Entertainment/Music & Audio/Experimental & Industrial Music"""
"13542,""/Arts & Entertainment/Music & Audio/Folk & Traditional Music"""
"13552,""/Arts & Entertainment/Music & Audio/Indie & Alternative Music"""
"13543,""/Arts & Entertainment/Music & Audio/Jazz & Blues"""
"13545,""/Arts & Entertainment/Music & Audio/Jazz & Blues/Blues"""
"13544,""/Arts & Entertainment/Music & Audio/Jazz & Blues/Jazz"""
"13672,""/Arts & Entertainment/Music & Audio/Latin Music"""
"10596,""/Arts & Entertainment/Music & Audio/Music & Audio CDs"""
"10595,""/Arts & Entertainment/Music & Audio/Music & Audio Retailers"""
"13427,""/Arts & Entertainment/Music & Audio/Music Education & Instruction"""
"10591,""/Arts & Entertainment/Music & Audio/Music Streams & Downloads"""
"10590,""/Arts & Entertainment/Music & Audio/Music Videos"""
"10592,""/Arts & Entertainment/Music & Audio/Musical Instruments & Equipment"""
"13855,""/Arts & Entertainment/Music & Audio/Musical Instruments & Equipment/Drums & Percussion"""
"11879,""/Arts & Entertainment/Music & Audio/Musical Instruments & Equipment/Guitars"""
"13537,""/Arts & Entertainment/Music & Audio/Musical Instruments & Equipment/Music Recording Technology"""
"11877,""/Arts & Entertainment/Music & Audio/Musical Instruments & Equipment/Musical Instrument & Performance Amplifiers"""
"11878,""/Arts & Entertainment/Music & Audio/Musical Instruments & Equipment/Musical Instrument Digital Interfaces & Synthesizers"""
"13424,""/Arts & Entertainment/Music & Audio/Musical Instruments & Equipment/Pianos & Keyboards"""
"13546,""/Arts & Entertainment/Music & Audio/Pop Music"""
"10570,""/Arts & Entertainment/Music & Audio/Radio"""
"10587,""/Arts & Entertainment/Music & Audio/Radio/Internet Radio"""
"11865,""/Arts & Entertainment/Music & Audio/Radio/Radio Programs & Shows"""
"12971,""/Arts & Entertainment/Music & Audio/Radio/Satellite Radio"""
"10588,""/Arts & Entertainment/Music & Audio/Record Labels"""
"13547,""/Arts & Entertainment/Music & Audio/Religious Music"""
